Country,Industry,Count
India,"Supply chain, logistics, & delivery",6
India,Travel,1
Indonesia,Consumer & retail,1
Indonesia,E-commerce & direct-to-consumer,1
Indonesia,Fintech,2
Indonesia,"Supply chain, logistics, & delivery",1
Indonesia,Travel,1
Ireland,Fintech,2
Ireland,Health,1
Ireland,Internet software & services,3
Israel,Artificial Intelligence,3
Israel,Cybersecurity,7
Israel,Data management & analytics,1
Israel,Edtech,1
Israel,Fintech,1
Israel,Hardware,2
Israel,Health,1
Israel,Internet software & services,2
Israel,Mobile & telecommunications,1
Israel,Other,1
Israel,"Supply chain, logistics, & delivery",2
Italy,Fintech,1
Japan,Artificial Intelligence,1
Japan,Fintech,2
Japan,Mobile & telecommunications,1
Japan,Other,2
Lithuania,Cybersecurity,1
Lithuania,E-commerce & direct-to-consumer,1
Luxembourg,Other,1
Malaysia,E-commerce & direct-to-consumer,1
Mexico,E-commerce & direct-to-consumer,2
Mexico,Fintech,5
Mexico,"Supply chain, logistics, & delivery",1
Netherlands,E-commerce & direct-to-consumer,1
Netherlands,Fintech,4
Netherlands,Hardware,1
Netherlands,Mobile & telecommunications,1
Nigeria,Fintech,1
Norway,Data management & analytics,2
Norway,E-commerce & direct-to-consumer,2
Norway,Internet software & services,1
Philippines,Fintech,1
Philippines,Other,1
Senegal,Fintech,1
Seychelles,Fintech,1
Singapore,Artificial Intelligence,2
Singapore,E-commerce & direct-to-consumer,3
Singapore,Fintech,4
Singapore,Internet software & services,2
Singapore,Mobile & telecommunications,1
Singapore,"Supply chain, logistics, & delivery",1
South Africa,Consumer & retail,1
South Africa,Mobile & telecommunications,1
South Korea,Auto & transportation,1
South Korea,Consumer & retail,1
South Korea,E-commerce & direct-to-consumer,4
South Korea,Fintech,2
South Korea,Health,1
South Korea,Internet software & services,1
South Korea,Mobile & telecommunications,2
South Korea,Other,1
South Korea,"Supply chain, logistics, & delivery",1
South Korea,Travel,1
Spain,Auto & transportation,1
Spain,Internet software & services,1
Spain,Other,1
Spain,Travel,1
Sweden,Auto & transportation,1
Sweden,Fintech,1
Sweden,Health,1
Sweden,Internet software & services,1
Sweden,Other,2
Sweden,"Supply chain, logistics, & delivery",1
Sweden,Travel,1
Switzerland,Cybersecurity,1
Switzerland,Data management & analytics,1
Switzerland,Fintech,1
Switzerland,Health,1
Switzerland,Internet software & services,1
Switzerland,"Supply chain, logistics, & delivery",1
Thailand,Fintech,1
Thailand,"Supply chain, logistics, & delivery",1
Turkey,Internet software & services,1
Turkey,Mobile & telecommunications,1
Turkey,"Supply chain, logistics, & delivery",1
United Arab Emirates,Other,2
United Arab Emirates,"Supply chain, logistics, & delivery",1
United Kingdom,Artificial Intelligence,2
United Kingdom,Auto & transportation,1
United Kingdom,Consumer & retail,1
United Kingdom,Data management & analytics,1
United Kingdom,E-commerce & direct-to-consumer,2
United Kingdom,Edtech,1
United Kingdom,Fintech,27
United Kingdom,Hardware,1
United Kingdom,Health,2
United Kingdom,Internet software & services,2
United Kingdom,Mobile & telecommunications,1
United Kingdom,Other,4
United Kingdom,"Supply chain, logistics, & delivery",1
United States,Artificial Intelligence,52
United States,Auto & transportation,10
United States,Consumer & retail,13
United States,Cybersecurity,45
United States,Data management & analytics,35
United States,E-commerce & direct-to-consumer,26
United States,Edtech,9
United States,Fintech,127
United States,Hardware,13
United States,Health,69
United States,Internet software & services,161
United States,Mobile & telecommunications,12
United States,Other,34
United States,"Supply chain, logistics, & delivery",25
United States,Travel,1
Vietnam,Fintech,1
Vietnam,Internet software & services,1
