Country,Industry,Count
France,"Supply chain, logistics, and delivery",1
Germany,Auto and transportation,2
Germany,Consumer and retail,1
Germany,Data management and analytics,1
Germany,E-commerce and direct-to-consumer,5
Germany,Fintech,6
Germany,Hardware,1
Germany,Health,1
Germany,Internet software and services,4
Germany,Other,2
Germany,"Supply chain, logistics, and delivery",3
Germany,Travel,3
Hong Kong,Consumer and retail,1
Hong Kong,E-commerce and direct-to-consumer,1
Hong Kong,Fintech,3
Hong Kong,"Supply chain, logistics, and delivery",1
Hong Kong,Travel,1
India,Auto and transportation,2
India,Data management and analytics,1
India,E-commerce and direct-to-consumer,17
India,Edtech,7
India,Fintech,16
India,Health,2
India,Internet software and services,13
India,Mobile and telecommunications,1
India,Other,2
India,"Supply chain, logistics, and delivery",6
India,Travel,1
Indonesia,Consumer and retail,1
Indonesia,E-commerce and direct-to-consumer,1
Indonesia,Fintech,2
Indonesia,"Supply chain, logistics, and delivery",1
Indonesia,Travel,1
Ireland,Fintech,2
Ireland,Health,1
Ireland,Internet software and services,3
Israel,Artificial Intelligence,3
Israel,Cybersecurity,7
Israel,Data management and analytics,1
Israel,Edtech,1
Israel,Fintech,1
Israel,Hardware,2
Israel,Health,1
Israel,Internet software and services,2
Israel,Mobile and telecommunications,1
Israel,Other,1
Israel,"Supply chain, logistics, and delivery",2
Italy,Fintech,1
Japan,Artificial Intelligence,1
Japan,Fintech,2
Japan,Mobile and telecommunications,1
Japan,Other,2
Lithuania,Cybersecurity,1
Lithuania,E-commerce and direct-to-consumer,1
Luxembourg,Other,1
Malaysia,E-commerce and direct-to-consumer,1
Mexico,E-commerce and direct-to-consumer,2
Mexico,Fintech,5
Mexico,"Supply chain, logistics, and delivery",1
Netherlands,E-commerce and direct-to-consumer,1
Netherlands,Fintech,4
Netherlands,Hardware,1
Netherlands,Mobile and telecommunications,1
Nigeria,Fintech,1
Norway,Data management and analytics,2
Norway,E-commerce and direct-to-consumer,2
Norway,Internet software and services,1
Philippines,Fintech,1
Philippines,Other,1
Senegal,Fintech,1
Seychelles,Fintech,1
Singapore,Artificial Intelligence,2
Singapore,E-commerce and direct-to-consumer,3
Singapore,Fintech,4
Singapore,Internet software and services,2
Singapore,Mobile and telecommunications,1
Singapore,"Supply chain, logistics, and delivery",1
South Africa,Consumer and retail,1
South Africa,Mobile and telecommunications,1
South Korea,Auto and transportation,1
South Korea,Consumer and retail,1
South Korea,E-commerce and direct-to-consumer,4
South Korea,Fintech,2
South Korea,Health,1
South Korea,Internet software and services,1
South Korea,Mobile and telecommunications,2
South Korea,Other,1
South Korea,"Supply chain, logistics, and delivery",1
South Korea,Travel,1
Spain,Auto and transportation,1
Spain,Internet software and services,1
Spain,Other,1
Spain,Travel,1
Sweden,Auto and transportation,1
Sweden,Fintech,1
Sweden,Health,1
Sweden,Internet software and services,1
Sweden,Other,2
Sweden,"Supply chain, logistics, and delivery",1
Sweden,Travel,1
Switzerland,Cybersecurity,1
Switzerland,Data management and analytics,1
Switzerland,Fintech,1
Switzerland,Health,1
Switzerland,Internet software and services,1
Switzerland,"Supply chain, logistics, and delivery",1
Thailand,Fintech,1
Thailand,"Supply chain, logistics, and delivery",1
Turkey,Internet software and services,1
Turkey,Mobile and telecommunications,1
Turkey,"Supply chain, logistics, and delivery",1
United Arab Emirates,Other,2
United Arab Emirates,"Supply chain, logistics, and delivery",1
United Kingdom,Artificial Intelligence,2
United Kingdom,Auto and transportation,1
United Kingdom,Consumer and retail,1
United Kingdom,Data management and analytics,1
United Kingdom,E-commerce and direct-to-consumer,2
United Kingdom,Edtech,1
United Kingdom,Fintech,27
United Kingdom,Hardware,1
United Kingdom,Health,2
United Kingdom,Internet software and services,2
United Kingdom,Mobile and telecommunications,1
United Kingdom,Other,4
United Kingdom,"Supply chain, logistics, and delivery",1
United States,Artificial Intelligence,52
United States,Auto and transportation,10
United States,Consumer and retail,13
United States,Cybersecurity,45
United States,Data management and analytics,35
United States,E-commerce and direct-to-consumer,26
United States,Edtech,9
United States,Fintech,127
United States,Hardware,13
United States,Health,69
United States,Internet software and services,161
United States,Mobile and telecommunications,12
United States,Other,34
United States,"Supply chain, logistics, and delivery",25
United States,Travel,1
Vietnam,Fintech,1
Vietnam,Internet software and services,1
